Date,TAIEX,00631L,NDFI,PCR_5MA
2024-01-02,17930.81,155.50,45.2,1.02
2024-01-03,17559.31,151.20,52.8,0.98
2024-01-04,17543.94,150.80,60.1,0.95
2024-01-05,17549.99,151.00,58.4,0.96
2024-01-08,17572.66,151.50,55.0,0.97
2024-01-09,17545.32,150.90,62.3,0.94
2024-01-10,17528.48,150.20,65.8,0.92
2024-01-11,17465.62,148.80,72.1,0.89
2024-01-12,17512.83,149.90,68.4,0.91
2024-01-15,17,786.07,156.40,40.5,1.05
2024-01-16,17,346.87,146.20,78.9,0.85
2024-01-17,17,161.79,141.50,85.2,0.79
2024-01-18,17,227.52,143.10,81.0,0.82
2024-01-19,17,681.52,153.20,48.6,1.01
2024-01-22,17,815.10,156.90,38.2,1.08
2024-01-23,17,875.25,158.40,32.1,1.12
2024-01-24,17,883.95,158.60,30.5,1.14
2024-01-25,17,900.30,159.00,28.4,1.16
2024-01-26,17,995.26,161.50,22.1,1.21
2024-01-29,18,012.30,162.00,20.5,1.23
2024-01-30,18,119.63,164.80,14.2,1.28
2024-01-31,17,968.11,160.90,35.0,1.10
